epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.696,1.27623,24.7168,1.73856,0.15945,0.18182,0.10461,0.0565,1.14506,23.9917,1.62475,0.09418,0.00018,0.00018
2,2.902,1.23813,23.3163,1.57928,0.25314,0.13636,0.19611,0.11379,1.11043,21.6764,1.5989,0.08739,0.000389996,0.000389996
3,4.069,1.30754,19.4903,1.64613,0.84486,0.36364,0.37091,0.24506,1.09822,15.8132,1.58884,0.0806,0.000599976,0.000599976
4,5.24,1.15737,17.597,1.68893,0.87672,0.27273,0.36572,0.23148,1.06427,12.9029,1.52424,0.0738099,0.000809928,0.000809928
5,6.432,1.06534,10.9371,1.43449,0.37099,0.40909,0.39101,0.23774,1.00439,10.7983,1.4247,0.0670198,0.00101984,0.00101984
6,7.543,0.99711,9.73173,1.38107,0.56766,0.40909,0.45103,0.26333,1.01185,8.98672,1.42603,0.0602297,0.0012297,0.0012297
7,8.644,1.03766,8.4179,1.39922,0.57903,0.5,0.56467,0.32206,1.05672,8.26459,1.43143,0.0534395,0.00143949,0.00143949
8,9.765,0.90665,9.04739,1.28026,0.74247,0.54545,0.61248,0.36596,0.91795,7.20805,1.27245,0.0466492,0.0016492,0.0016492
9,10.874,0.93806,7.32222,1.25918,0.69983,0.63366,0.67451,0.40659,0.95965,6.60217,1.31526,0.0398588,0.00185883,0.00185883
10,11.9875,0.91401,6.20068,1.30528,0.70667,0.63063,0.6854,0.4307,0.93303,6.45703,1.29938,0.0330684,0.00206835,0.00206835
11,13.1165,0.82375,5.52205,1.18693,0.65941,0.75153,0.7463,0.50207,0.86353,7.67767,1.24637,0.0262778,0.00227776,0.00227776
12,14.2156,0.94167,6.5046,1.30432,0.82864,0.63636,0.723,0.47512,0.90153,6.36794,1.22161,0.019487,0.00248704,0.00248704
13,15.2996,0.84883,6.01202,1.16058,0.78686,0.70938,0.78502,0.52209,0.88611,5.92439,1.23626,0.0126962,0.00269618,0.00269618
14,16.4686,0.79485,5.17534,1.10593,0.78686,0.70938,0.78502,0.52209,0.88611,5.92439,1.23626,0.00590516,0.00290516,0.00290516
15,17.6196,0.79348,6.17714,1.10927,0.82591,0.57566,0.70742,0.48088,0.9068,6.33724,1.23284,0.00299422,0.00299422,0.00299422
16,18.6976,0.76506,4.75662,1.12438,0.90006,0.68443,0.80082,0.53133,0.8997,5.17357,1.23725,0.00299336,0.00299336,0.00299336
17,19.7936,0.76355,4.71746,1.10546,0.8107,0.77273,0.83935,0.57191,0.87234,5.98441,1.20138,0.00299245,0.00299245,0.00299245
18,20.8876,0.7727,4.98983,1.11873,0.81061,0.74556,0.83307,0.59756,0.84641,5.46633,1.18475,0.00299148,0.00299148,0.00299148
19,21.9856,0.78996,4.72982,1.13293,0.82007,0.69136,0.82707,0.58166,0.83833,5.66635,1.17079,0.00299045,0.00299045,0.00299045
20,23.0726,0.72274,6.60121,1.11081,0.87479,0.75881,0.85907,0.60376,0.82163,4.6478,1.1365,0.00298936,0.00298936,0.00298936
21,24.1866,0.8794,4.91553,1.11018,0.85308,0.76293,0.87591,0.58052,0.84213,4.60288,1.15114,0.00298821,0.00298821,0.00298821
22,25.2636,0.73184,4.05614,1.07061,0.85308,0.76293,0.87591,0.58052,0.84213,4.60288,1.15114,0.002987,0.002987,0.002987
23,26.4016,0.79493,4.45124,1.13513,0.8582,0.77682,0.88766,0.60541,0.79708,5.0335,1.11021,0.00298574,0.00298574,0.00298574
24,27.5036,0.79491,4.35342,1.10192,0.95623,0.76434,0.88866,0.62808,0.80339,4.07669,1.11584,0.00298441,0.00298441,0.00298441
25,28.6106,0.75341,4.21998,1.07601,0.86742,0.80023,0.9036,0.61439,0.77745,4.45746,1.09302,0.00298303,0.00298303,0.00298303
26,29.6956,0.74275,4.19799,1.05891,0.95673,0.77838,0.92015,0.63135,0.75038,4.17262,1.06432,0.00298159,0.00298159,0.00298159
27,30.7956,0.69918,3.92322,1.03761,0.94908,0.8636,0.92902,0.62352,0.76395,3.54937,1.06099,0.00298009,0.00298009,0.00298009
28,31.8796,0.75558,3.96406,1.07251,0.89274,0.80654,0.91941,0.61609,0.76581,4.31875,1.058,0.00297853,0.00297853,0.00297853
29,32.9616,0.74974,4.3279,1.06131,0.97284,0.80599,0.92092,0.62957,0.75954,3.64478,1.06373,0.00297692,0.00297692,0.00297692
30,34.0156,0.76083,4.36208,1.07518,0.97284,0.80599,0.92092,0.62957,0.75954,3.64478,1.06373,0.00297524,0.00297524,0.00297524
31,35.0916,0.69909,3.53217,1.01647,0.99857,0.7678,0.89944,0.63375,0.76262,4.09494,1.05658,0.00297351,0.00297351,0.00297351
32,36.2546,0.64687,3.36164,1.02509,0.96536,0.81818,0.90741,0.64223,0.74369,3.94907,1.05711,0.00297172,0.00297172,0.00297172
33,37.3686,0.73868,3.54931,1.08282,1,0.76605,0.90615,0.62917,0.74621,3.88357,1.05578,0.00296987,0.00296987,0.00296987
34,38.4456,0.70169,3.36136,1.02978,1,0.77552,0.91768,0.63973,0.72706,3.68835,1.05831,0.00296797,0.00296797,0.00296797
35,39.5236,0.70968,3.56772,1.02005,0.97934,0.7953,0.90962,0.64549,0.7217,3.87175,1.04411,0.002966,0.002966,0.002966
36,40.6246,0.69111,3.49272,1.06415,0.97749,0.78302,0.92259,0.66932,0.68327,3.51464,1.02469,0.00296398,0.00296398,0.00296398
37,41.7216,0.73955,4.11064,1.33583,0.97576,0.8074,0.92045,0.65642,0.69532,3.56708,1.06312,0.0029619,0.0029619,0.0029619
38,42.7726,0.65382,3.08989,0.99688,0.97576,0.8074,0.92045,0.65642,0.69532,3.56708,1.06312,0.00295977,0.00295977,0.00295977
39,43.8466,0.67338,3.32381,1.01556,0.98351,0.79088,0.92161,0.64722,0.67687,3.3231,1.03651,0.00295758,0.00295758,0.00295758
40,44.9376,0.7481,3.52364,1.10043,0.97663,0.83846,0.92887,0.64411,0.71184,3.3974,1.0816,0.00295532,0.00295532,0.00295532
41,46.0826,0.66865,3.03434,1.01451,0.98237,0.84282,0.93885,0.64728,0.70065,3.30683,1.06256,0.00295302,0.00295302,0.00295302
42,47.1666,0.68249,3.29854,1.00233,0.92402,0.90909,0.93075,0.6557,0.68661,3.38246,1.05531,0.00295065,0.00295065,0.00295065
43,48.2436,0.6249,3.0521,0.95983,0.93363,0.86026,0.93686,0.63418,0.7127,3.62117,1.06862,0.00294823,0.00294823,0.00294823
44,49.3316,0.65373,3.29379,1.03055,0.9074,0.85914,0.92456,0.62867,0.71002,3.58913,1.07458,0.00294575,0.00294575,0.00294575
45,50.4136,0.65105,3.05624,1.01006,0.87187,0.85373,0.91393,0.6361,0.71461,4.17252,1.04658,0.00294321,0.00294321,0.00294321
46,51.4686,0.65286,3.07614,1.00078,0.87187,0.85373,0.91393,0.6361,0.71461,4.17252,1.04658,0.00294062,0.00294062,0.00294062
47,52.5516,0.65537,5.98985,1.10675,0.95188,0.80735,0.92064,0.63053,0.72914,4.1679,1.05578,0.00293797,0.00293797,0.00293797
48,53.6266,0.66872,2.94809,1.00934,0.9714,0.77273,0.89019,0.60256,0.74024,4.11669,1.07152,0.00293526,0.00293526,0.00293526
49,54.7716,0.67961,2.92675,1.01222,0.94112,0.86364,0.90218,0.6446,0.76403,3.9554,1.11874,0.0029325,0.0029325,0.0029325
50,55.8516,0.65311,3.20718,1.00826,1,0.82009,0.93599,0.62181,0.75082,4.17543,1.08791,0.00292968,0.00292968,0.00292968
51,56.9316,0.67657,3.60078,0.98857,0.95447,0.90426,0.93689,0.62545,0.7321,3.52391,1.08524,0.00292681,0.00292681,0.00292681
52,58.0076,0.62483,2.92821,1.00162,0.95601,0.89002,0.95406,0.64982,0.72706,3.79847,1.05814,0.00292387,0.00292387,0.00292387
53,59.0846,0.67775,3.02972,0.99627,1,0.91168,0.96207,0.66589,0.69937,3.39842,1.02194,0.00292089,0.00292089,0.00292089
54,60.1466,0.6051,2.86817,0.99406,1,0.91168,0.96207,0.66589,0.69937,3.39842,1.02194,0.00291784,0.00291784,0.00291784
